,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres
955530,1137,3150,3,975362067,M,18,4,13165,"War Zone, The (1999)",Drama
787230,2909,3248,2,971974405,M,25,7,43228,Sister Act 2: Back in the Habit (1993),Comedy
737921,1150,187,2,974876216,F,25,20,75226,Party Girl (1995),Comedy
382160,3789,3481,5,966630898,F,25,0,94110,High Fidelity (2000),Comedy
350704,4041,1573,4,965502898,M,18,3,48005,Face/Off (1997),Action|Sci-Fi|Thriller
724007,1747,3661,1,974702183,M,25,0,90638,Puppet Master II (1990),Horror|Sci-Fi|Thriller
14075,1088,2398,4,1004903206,F,1,10,98103,Miracle on 34th Street (1947),Drama
209303,4327,2871,4,965244952,M,35,17,37221,Deliverance (1972),Adventure|Thriller
713692,3724,2150,4,966221610,M,35,6,77083,"Gods Must Be Crazy, The (1980)",Comedy
222771,3685,1201,4,966948586,M,25,5,55100,"Good, The Bad and The Ugly, The (1966)",Action|Western
780440,5550,2779,4,959473550,M,35,15,48187,Heaven Can Wait (1978),Comedy
790249,5420,1588,3,960158225,F,1,19,14850,George of the Jungle (1997),Children's|Comedy
751985,5156,3770,4,961946367,M,18,14,10024,Dreamscape (1984),Adventure|Crime|Sci-Fi|Thriller
251182,2942,50,4,971329474,F,50,1,93103,"Usual Suspects, The (1995)",Crime|Thriller
279771,4482,1649,4,965099028,F,35,1,94044,"Fast, Cheap & Out of Control (1997)",Documentary
912909,3280,3190,1,968344703,M,25,7,33486,Supernova (2000),Adventure|Sci-Fi
362689,3669,2712,4,966379004,M,25,14,60148,Eyes Wide Shut (1999),Drama
32495,5281,1721,5,961102067,M,25,2,90210,Titanic (1997),Drama|Romance
445448,1727,1276,5,974715179,M,35,16,50317,Cool Hand Luke (1967),Comedy|Drama
393242,1611,223,5,974730648,M,25,0,03867,Clerks (1994),Comedy
971871,3471,2597,3,973298393,M,18,4,80302,Lost & Found (1999),Comedy|Romance
660756,4562,3526,4,964495967,M,35,10,94133,Parenthood (1989),Comedy|Drama
151000,5675,1955,4,958742457,M,35,14,30030,Kramer Vs. Kramer (1979),Drama
831793,1383,837,3,974769108,F,25,7,19806,Matilda (1996),Children's|Comedy
818618,161,2071,5,977222073,M,45,16,98107-2117,And the Band Played On (1993),Drama
123087,5083,1370,4,962419083,M,25,4,16803,Die Hard 2 (1990),Action|Thriller
667215,528,1013,4,980656277,F,18,17,83843,"Parent Trap, The (1961)",Children's|Drama
521299,310,539,4,976481464,F,18,4,31207,Sleepless in Seattle (1993),Comedy|Romance
63576,1628,648,3,975161255,M,18,20,90028,Mission: Impossible (1996),Action|Adventure|Mystery
378206,5329,2023,3,961006474,F,25,5,91773,"Godfather: Part III, The (1990)",Action|Crime|Drama
293997,3309,551,4,967968246,M,25,17,20707,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
465460,4591,2094,4,964326095,M,25,15,02143,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
134706,3261,1198,5,968936375,M,45,20,87505,Raiders of the Lost Ark (1981),Action|Adventure
286199,4161,1722,1,965340514,M,45,0,90404,Tomorrow Never Dies (1997),Action|Romance|Thriller
385547,549,2324,5,976069964,M,25,6,53217,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama
874434,3768,835,4,966063292,M,25,4,86314,Foxfire (1996),Drama
889563,1988,3067,4,975118900,F,25,1,85224,Women on the Verge of a Nervous Breakdown (1988),Comedy|Drama
709748,4754,2122,4,963187202,F,18,0,91107,Children of the Corn (1984),Horror|Thriller
432307,40,2,5,978040739,M,45,0,10543,Jumanji (1995),Adventure|Children's|Fantasy
88167,1495,1259,3,974749340,M,18,0,77341,Stand by Me (1986),Adventure|Comedy|Drama
377257,2777,1589,3,973051379,M,18,4,95326,Cop Land (1997),Crime|Drama|Mystery
372540,2581,3246,3,973889819,M,25,11,60611,Malcolm X (1992),Drama
552378,777,208,1,975440119,M,18,19,87543,Waterworld (1995),Action|Adventure
115801,955,3699,5,975132581,F,50,7,94941,Starman (1984),Adventure|Drama|Romance|Sci-Fi
772069,3436,3543,3,967327759,M,35,0,98503,Diner (1982),Comedy|Drama
786361,1448,605,3,976221109,F,25,3,17522,One Fine Day (1996),Drama|Romance
191175,3371,2997,5,967608220,M,25,2,55405,Being John Malkovich (1999),Comedy
504576,1897,3668,4,1017696983,F,50,2,94530,Romeo and Juliet (1968),Drama|Romance
832947,960,2432,2,975126424,M,1,10,45244,Stepmom (1998),Drama
758674,4378,2915,3,965177468,M,18,17,06040,Risky Business (1983),Comedy
410405,5831,1148,4,957896322,M,25,1,92120,"Wrong Trousers, The (1993)",Animation|Comedy
478409,1974,918,4,974864705,M,35,17,12159,Meet Me in St. Louis (1944),Musical
650032,3651,1748,4,966456814,M,25,14,98103,Dark City (1998),Film-Noir|Sci-Fi|Thriller
601032,3017,1883,4,970507596,F,35,9,85255,Bulworth (1998),Comedy
376233,4213,111,5,965843769,M,35,7,63125,Taxi Driver (1976),Drama|Thriller
330714,1370,597,3,974796056,M,35,2,92821,Pretty Woman (1990),Comedy|Romance
552639,3416,208,3,967405039,M,25,12,20850,Waterworld (1995),Action|Adventure
514634,2270,2005,5,974575241,M,18,1,14620,"Goonies, The (1985)",Adventure|Children's|Fantasy
582371,1328,517,3,974995578,M,35,14,60657,Rising Sun (1993),Action|Drama|Mystery
920989,5433,1161,4,960243701,F,35,17,45014,"Tin Drum, The (Blechtrommel, Die) (1979)",Drama
56658,5394,3114,4,961438109,M,18,0,60618,Toy Story 2 (1999),Animation|Children's|Comedy
540995,5843,1080,4,957805417,M,35,1,83301,Monty Python's Life of Brian (1979),Comedy
91255,2098,1544,3,974654940,M,35,20,48067,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
231080,1383,1535,3,975979565,F,25,7,19806,Love! Valour! Compassion! (1997),Drama|Romance
682470,5519,3698,3,959651744,M,35,15,33167,"Running Man, The (1987)",Action|Adventure|Sci-Fi
958721,1595,3819,4,974769230,M,35,1,92683-1892,Tampopo (1986),Comedy
209758,1298,2115,4,974836458,M,35,6,33615,Indiana Jones and the Temple of Doom (1984),Action|Adventure
984881,3013,1839,2,994721772,M,45,17,97124,My Giant (1998),Comedy
930657,765,711,3,975612189,M,25,17,74467,Flipper (1996),Adventure|Children's
465517,5091,2094,3,963685645,M,25,17,19810,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
676947,1943,532,4,974764462,M,18,4,91501,Serial Mom (1994),Comedy|Crime|Horror
880852,1694,410,3,974714857,M,25,12,98116,Addams Family Values (1993),Comedy
89553,346,3147,5,976336520,F,25,0,55110,"Green Mile, The (1999)",Drama|Thriller
255696,1635,1268,4,976943770,M,25,0,97212,Pump Up the Volume (1990),Drama
134445,2592,1198,5,973826004,M,50,7,80004-4448,Raiders of the Lost Ark (1981),Action|Adventure
289398,5840,2384,3,957829200,F,1,0,44260,Babe: Pig in the City (1998),Children's|Comedy
567162,1635,2335,3,974774463,M,25,0,97212,"Waterboy, The (1998)",Comedy
793413,352,499,3,976334335,M,18,4,60115,Mr. Wonderful (1993),Comedy|Romance
178154,954,356,1,975132163,F,25,0,21030,Forrest Gump (1994),Comedy|Romance|War
122133,48,1370,3,978013046,M,25,4,92107,Die Hard 2 (1990),Action|Thriller
523496,5881,3247,5,957549175,M,35,17,30303,Sister Act (1992),Comedy|Crime
472941,5650,2174,2,958863038,F,35,12,91104,Beetlejuice (1988),Comedy|Fantasy
886777,5916,1177,4,957458858,M,50,20,48230,Enchanted April (1991),Drama
